Filepath,Pitchpath,Emotion
../dataset/meld/train/dia562_utt6.mp4,augmented_pitch\dia562_utt6_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/21215.wav,augmented_pitch\21215_pitch.wav,Happy
../dataset/esd/0019/Neutral/0019_000063.wav,augmented_pitch\0019_000063_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1017_IEO_FEA_LO.wav,augmented_pitch\1017_IEO_FEA_LO_pitch.wav,Fear
../dataset/esd/0016/Surprise/0016_001661.wav,augmented_pitch\0016_001661_pitch.wav,Surprise
../dataset/tess/YAF_angry/YAF_live_angry.wav,augmented_pitch\YAF_live_angry_pitch.wav,Anger
../dataset/ravdess/Actor_16/03-01-03-01-02-02-16.wav,augmented_pitch\03-01-03-01-02-02-16_pitch.wav,Happy
../dataset/esd/0018/Surprise/0018_001552.wav,augmented_pitch\0018_001552_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/09988.wav,augmented_pitch\09988_pitch.wav,Bored
../dataset/esd/0019/Sad/0019_001386.wav,augmented_pitch\0019_001386_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/28053.wav,augmented_pitch\28053_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/07002.wav,augmented_pitch\07002_pitch.wav,Question
../dataset/meld/train/dia827_utt1.mp4,augmented_pitch\dia827_utt1_pitch.wav,Happy
../dataset/meld/train/dia961_utt3.mp4,augmented_pitch\dia961_utt3_pitch.wav,Anger
../dataset/esd/0020/Angry/0020_000669.wav,augmented_pitch\0020_000669_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/27233.wav,augmented_pitch\27233_pitch.wav,Question
../dataset/mlend/MLEndSND_Public/04728.wav,augmented_pitch\04728_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1073_DFA_DIS_XX.wav,augmented_pitch\1073_DFA_DIS_XX_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/27175.wav,augmented_pitch\27175_pitch.wav,Happy
../dataset/tess/YAF_angry/YAF_pole_angry.wav,augmented_pitch\YAF_pole_angry_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/03585.wav,augmented_pitch\03585_pitch.wav,Question
../dataset/esd/0013/Angry/0013_000445.wav,augmented_pitch\0013_000445_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/24644.wav,augmented_pitch\24644_pitch.wav,Happy
../dataset/tess/YAF_fear/YAF_cause_fear.wav,augmented_pitch\YAF_cause_fear_pitch.wav,Fear
../dataset/esd/0019/Neutral/0019_000187.wav,augmented_pitch\0019_000187_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/23854.wav,augmented_pitch\23854_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1077_TIE_SAD_XX.wav,augmented_pitch\1077_TIE_SAD_XX_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/11468.wav,augmented_pitch\11468_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/41356.wav,augmented_pitch\41356_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1037_IEO_DIS_LO.wav,augmented_pitch\1037_IEO_DIS_LO_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/46042.wav,augmented_pitch\46042_pitch.wav,Question
../dataset/meld/train/dia1029_utt3.mp4,augmented_pitch\dia1029_utt3_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/39196.wav,augmented_pitch\39196_pitch.wav,Question
../dataset/mlend/MLEndSND_Public/43632.wav,augmented_pitch\43632_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/03532.wav,augmented_pitch\03532_pitch.wav,Question
../dataset/crema-d/AudioWAV/1043_IWL_HAP_XX.wav,augmented_pitch\1043_IWL_HAP_XX_pitch.wav,Happy
../dataset/esd/0014/Angry/0014_000426.wav,augmented_pitch\0014_000426_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/05241.wav,augmented_pitch\05241_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/17174.wav,augmented_pitch\17174_pitch.wav,Neutral
../dataset/esd/0013/Sad/0013_001392.wav,augmented_pitch\0013_001392_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/09873.wav,augmented_pitch\09873_pitch.wav,Happy
../dataset/ravdess/Actor_04/03-01-08-01-02-01-04.wav,augmented_pitch\03-01-08-01-02-01-04_pitch.wav,Surprise
../dataset/esd/0012/Sad/0012_001319.wav,augmented_pitch\0012_001319_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/20087.wav,augmented_pitch\20087_pitch.wav,Happy
../dataset/meld/train/dia286_utt0.mp4,augmented_pitch\dia286_utt0_pitch.wav,Neutral
../dataset/tess/YAF_happy/YAF_mouse_happy.wav,augmented_pitch\YAF_mouse_happy_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/20887.wav,augmented_pitch\20887_pitch.wav,Neutral
../dataset/esd/0011/Happy/0011_000739.wav,augmented_pitch\0011_000739_pitch.wav,Happy
../dataset/esd/0015/Angry/0015_000529.wav,augmented_pitch\0015_000529_pitch.wav,Anger
../dataset/tess/OAF_disgust/OAF_king_disgust.wav,augmented_pitch\OAF_king_disgust_pitch.wav,Disgust
../dataset/esd/0014/Angry/0014_000428.wav,augmented_pitch\0014_000428_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/42143.wav,augmented_pitch\42143_pitch.wav,Neutral
../dataset/esd/0020/Neutral/0020_000094.wav,augmented_pitch\0020_000094_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/39132.wav,augmented_pitch\39132_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/14356.wav,augmented_pitch\14356_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/31878.wav,augmented_pitch\31878_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/37648.wav,augmented_pitch\37648_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/08888.wav,augmented_pitch\08888_pitch.wav,Question
../dataset/crema-d/AudioWAV/1015_IEO_DIS_LO.wav,augmented_pitch\1015_IEO_DIS_LO_pitch.wav,Disgust
../dataset/crema-d/AudioWAV/1071_TAI_FEA_XX.wav,augmented_pitch\1071_TAI_FEA_XX_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/15450.wav,augmented_pitch\15450_pitch.wav,Question
../dataset/tess/OAF_disgust/OAF_nice_disgust.wav,augmented_pitch\OAF_nice_disgust_pitch.wav,Disgust
../dataset/crema-d/AudioWAV/1027_WSI_DIS_XX.wav,augmented_pitch\1027_WSI_DIS_XX_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/02782.wav,augmented_pitch\02782_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/04654.wav,augmented_pitch\04654_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/11015.wav,augmented_pitch\11015_pitch.wav,Question
../dataset/crema-d/AudioWAV/1041_MTI_HAP_XX.wav,augmented_pitch\1041_MTI_HAP_XX_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/38355.wav,augmented_pitch\38355_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1001_TSI_ANG_XX.wav,augmented_pitch\1001_TSI_ANG_XX_pitch.wav,Anger
../dataset/crema-d/AudioWAV/1055_IOM_HAP_XX.wav,augmented_pitch\1055_IOM_HAP_XX_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/44459.wav,augmented_pitch\44459_pitch.wav,Bored
../dataset/meld/train/dia1016_utt12.mp4,augmented_pitch\dia1016_utt12_pitch.wav,Happy
../dataset/esd/0015/Sad/0015_001067.wav,augmented_pitch\0015_001067_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/16837.wav,augmented_pitch\16837_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/35255.wav,augmented_pitch\35255_pitch.wav,Happy
../dataset/esd/0019/Neutral/0019_000207.wav,augmented_pitch\0019_000207_pitch.wav,Neutral
../dataset/tess/OAF_angry/OAF_take_angry.wav,augmented_pitch\OAF_take_angry_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/41153.wav,augmented_pitch\41153_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/33493.wav,augmented_pitch\33493_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/13628.wav,augmented_pitch\13628_pitch.wav,Question
../dataset/mlend/MLEndSND_Public/19894.wav,augmented_pitch\19894_pitch.wav,Happy
../dataset/esd/0013/Sad/0013_001185.wav,augmented_pitch\0013_001185_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/15266.wav,augmented_pitch\15266_pitch.wav,Bored
../dataset/esd/0019/Neutral/0019_000092.wav,augmented_pitch\0019_000092_pitch.wav,Neutral
../dataset/meld/train/dia545_utt11.mp4,augmented_pitch\dia545_utt11_pitch.wav,Anger
../dataset/meld/train/dia673_utt9.mp4,augmented_pitch\dia673_utt9_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1061_IEO_DIS_MD.wav,augmented_pitch\1061_IEO_DIS_MD_pitch.wav,Disgust
../dataset/esd/0014/Surprise/0014_001687.wav,augmented_pitch\0014_001687_pitch.wav,Surprise
../dataset/esd/0011/Happy/0011_000834.wav,augmented_pitch\0011_000834_pitch.wav,Happy
../dataset/meld/train/dia147_utt6.mp4,augmented_pitch\dia147_utt6_pitch.wav,Surprise
../dataset/esd/0014/Angry/0014_000494.wav,augmented_pitch\0014_000494_pitch.wav,Anger
../dataset/ravdess/Actor_04/03-01-05-02-02-02-04.wav,augmented_pitch\03-01-05-02-02-02-04_pitch.wav,Anger
../dataset/meld/train/dia460_utt2.mp4,augmented_pitch\dia460_utt2_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/38337.wav,augmented_pitch\38337_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1061_DFA_HAP_XX.wav,augmented_pitch\1061_DFA_HAP_XX_pitch.wav,Happy
../dataset/esd/0020/Surprise/0020_001506.wav,augmented_pitch\0020_001506_pitch.wav,Surprise
../dataset/tess/YAF_fear/YAF_chair_fear.wav,augmented_pitch\YAF_chair_fear_pitch.wav,Fear
../dataset/esd/0012/Surprise/0012_001632.wav,augmented_pitch\0012_001632_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/41662.wav,augmented_pitch\41662_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/31660.wav,augmented_pitch\31660_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/01537.wav,augmented_pitch\01537_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1071_IEO_FEA_HI.wav,augmented_pitch\1071_IEO_FEA_HI_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/21542.wav,augmented_pitch\21542_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/34622.wav,augmented_pitch\34622_pitch.wav,Bored
../dataset/esd/0020/Neutral/0020_000137.wav,augmented_pitch\0020_000137_pitch.wav,Neutral
../dataset/esd/0011/Sad/0011_001257.wav,augmented_pitch\0011_001257_pitch.wav,Sad
../dataset/esd/0014/Surprise/0014_001529.wav,augmented_pitch\0014_001529_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/21796.wav,augmented_pitch\21796_pitch.wav,Bored
../dataset/esd/0011/Happy/0011_000956.wav,augmented_pitch\0011_000956_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/25699.wav,augmented_pitch\25699_pitch.wav,Happy
../dataset/esd/0011/Neutral/0011_000138.wav,augmented_pitch\0011_000138_pitch.wav,Neutral
../dataset/esd/0011/Sad/0011_001197.wav,augmented_pitch\0011_001197_pitch.wav,Sad
../dataset/meld/train/dia41_utt14.mp4,augmented_pitch\dia41_utt14_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/45320.wav,augmented_pitch\45320_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/40240.wav,augmented_pitch\40240_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/27081.wav,augmented_pitch\27081_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1040_MTI_ANG_XX.wav,augmented_pitch\1040_MTI_ANG_XX_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/26238.wav,augmented_pitch\26238_pitch.wav,Happy
../dataset/meld/train/dia208_utt1.mp4,augmented_pitch\dia208_utt1_pitch.wav,Neutral
../dataset/esd/0018/Surprise/0018_001513.wav,augmented_pitch\0018_001513_pitch.wav,Surprise
../dataset/esd/0013/Neutral/0013_000168.wav,augmented_pitch\0013_000168_pitch.wav,Neutral
../dataset/meld/train/dia629_utt12.mp4,augmented_pitch\dia629_utt12_pitch.wav,Neutral
../dataset/tess/OAF_Pleasant_surprise/OAF_chair_ps.wav,augmented_pitch\OAF_chair_ps_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/44543.wav,augmented_pitch\44543_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/09331.wav,augmented_pitch\09331_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/30616.wav,augmented_pitch\30616_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1037_IEO_SAD_HI.wav,augmented_pitch\1037_IEO_SAD_HI_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/08610.wav,augmented_pitch\08610_pitch.wav,Bored
../dataset/tess/OAF_disgust/OAF_hall_disgust.wav,augmented_pitch\OAF_hall_disgust_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/25963.wav,augmented_pitch\25963_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/08484.wav,augmented_pitch\08484_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/06947.wav,augmented_pitch\06947_pitch.wav,Question
../dataset/esd/0019/Surprise/0019_001522.wav,augmented_pitch\0019_001522_pitch.wav,Surprise
../dataset/esd/0019/Sad/0019_001180.wav,augmented_pitch\0019_001180_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/44856.wav,augmented_pitch\44856_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1023_TSI_ANG_XX.wav,augmented_pitch\1023_TSI_ANG_XX_pitch.wav,Anger
../dataset/esd/0018/Happy/0018_001032.wav,augmented_pitch\0018_001032_pitch.wav,Happy
../dataset/esd/0011/Angry/0011_000388.wav,augmented_pitch\0011_000388_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/45736.wav,augmented_pitch\45736_pitch.wav,Happy
../dataset/esd/0020/Neutral/0020_000079.wav,augmented_pitch\0020_000079_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/45246.wav,augmented_pitch\45246_pitch.wav,Happy
../dataset/meld/train/dia298_utt4.mp4,augmented_pitch\dia298_utt4_pitch.wav,Sad
../dataset/tess/YAF_fear/YAF_ripe_fear.wav,augmented_pitch\YAF_ripe_fear_pitch.wav,Fear
../dataset/esd/0013/Angry/0013_000614.wav,augmented_pitch\0013_000614_pitch.wav,Anger
../dataset/mlend/MLEndSND_Public/09715.wav,augmented_pitch\09715_pitch.wav,Question
../dataset/mlend/MLEndSND_Public/30938.wav,augmented_pitch\30938_pitch.wav,Bored
../dataset/meld/train/dia792_utt0.mp4,augmented_pitch\dia792_utt0_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/22157.wav,augmented_pitch\22157_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/15713.wav,augmented_pitch\15713_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/04964.wav,augmented_pitch\04964_pitch.wav,Bored
../dataset/esd/0014/Neutral/0014_000270.wav,augmented_pitch\0014_000270_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/38599.wav,augmented_pitch\38599_pitch.wav,Question
../dataset/meld/train/dia629_utt1.mp4,augmented_pitch\dia629_utt1_pitch.wav,Happy
../dataset/esd/0015/Surprise/0015_001704.wav,augmented_pitch\0015_001704_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/26792.wav,augmented_pitch\26792_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/06930.wav,augmented_pitch\06930_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/11984.wav,augmented_pitch\11984_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/27807.wav,augmented_pitch\27807_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/37887.wav,augmented_pitch\37887_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/28098.wav,augmented_pitch\28098_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/00852.wav,augmented_pitch\00852_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/29525.wav,augmented_pitch\29525_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/45400.wav,augmented_pitch\45400_pitch.wav,Question
../dataset/crema-d/AudioWAV/1024_MTI_FEA_XX.wav,augmented_pitch\1024_MTI_FEA_XX_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/04235.wav,augmented_pitch\04235_pitch.wav,Question
../dataset/mlend/MLEndSND_Public/24048.wav,augmented_pitch\24048_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/13459.wav,augmented_pitch\13459_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1036_TSI_NEU_XX.wav,augmented_pitch\1036_TSI_NEU_XX_pitch.wav,Neutral
../dataset/esd/0014/Happy/0014_000972.wav,augmented_pitch\0014_000972_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/13713.wav,augmented_pitch\13713_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1014_IEO_HAP_HI.wav,augmented_pitch\1014_IEO_HAP_HI_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1046_DFA_SAD_XX.wav,augmented_pitch\1046_DFA_SAD_XX_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/33788.wav,augmented_pitch\33788_pitch.wav,Happy
../dataset/esd/0020/Neutral/0020_000092.wav,augmented_pitch\0020_000092_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1037_ITS_NEU_XX.wav,augmented_pitch\1037_ITS_NEU_XX_pitch.wav,Neutral
../dataset/meld/train/dia546_utt6.mp4,augmented_pitch\dia546_utt6_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/46505.wav,augmented_pitch\46505_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/27753.wav,augmented_pitch\27753_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1011_IEO_DIS_HI.wav,augmented_pitch\1011_IEO_DIS_HI_pitch.wav,Disgust
../dataset/esd/0011/Neutral/0011_000038.wav,augmented_pitch\0011_000038_pitch.wav,Neutral
../dataset/esd/0012/Surprise/0012_001478.wav,augmented_pitch\0012_001478_pitch.wav,Surprise
../dataset/esd/0018/Sad/0018_001370.wav,augmented_pitch\0018_001370_pitch.wav,Sad
../dataset/tess/OAF_happy/OAF_gin_happy.wav,augmented_pitch\OAF_gin_happy_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/22812.wav,augmented_pitch\22812_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/37204.wav,augmented_pitch\37204_pitch.wav,Question
../dataset/tess/OAF_disgust/OAF_hole_disgust.wav,augmented_pitch\OAF_hole_disgust_pitch.wav,Disgust
../dataset/esd/0015/Surprise/0015_001454.wav,augmented_pitch\0015_001454_pitch.wav,Surprise
../dataset/esd/0013/Angry/0013_000529.wav,augmented_pitch\0013_000529_pitch.wav,Anger
../dataset/esd/0011/Surprise/0011_001504.wav,augmented_pitch\0011_001504_pitch.wav,Surprise
../dataset/mlend/MLEndSND_Public/41044.wav,augmented_pitch\41044_pitch.wav,Bored
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female1_neutral_5b_1.wav,augmented_pitch\female1_neutral_5b_1_pitch.wav,Neutral
../dataset/esd/0020/Neutral/0020_000043.wav,augmented_pitch\0020_000043_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/17818.wav,augmented_pitch\17818_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/35129.wav,augmented_pitch\35129_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/16759.wav,augmented_pitch\16759_pitch.wav,Bored
../dataset/esd/0017/Happy/0017_000743.wav,augmented_pitch\0017_000743_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/04852.wav,augmented_pitch\04852_pitch.wav,Bored
../dataset/crema-d/AudioWAV/1016_IEO_ANG_MD.wav,augmented_pitch\1016_IEO_ANG_MD_pitch.wav,Anger
../dataset/esd/0015/Surprise/0015_001472.wav,augmented_pitch\0015_001472_pitch.wav,Surprise
../dataset/esd/0011/Angry/0011_000559.wav,augmented_pitch\0011_000559_pitch.wav,Anger
../dataset/ravdess/Actor_03/03-01-06-02-01-02-03.wav,augmented_pitch\03-01-06-02-01-02-03_pitch.wav,Fear
../dataset/esd/0017/Sad/0017_001337.wav,augmented_pitch\0017_001337_pitch.wav,Sad
../dataset/esd/0012/Happy/0012_000707.wav,augmented_pitch\0012_000707_pitch.wav,Happy
../dataset/esd/0015/Neutral/0015_000236.wav,augmented_pitch\0015_000236_pitch.wav,Neutral
../dataset/meld/train/dia774_utt0.mp4,augmented_pitch\dia774_utt0_pitch.wav,Sad
../dataset/esd/0020/Sad/0020_001349.wav,augmented_pitch\0020_001349_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/22002.wav,augmented_pitch\22002_pitch.wav,Neutral
../dataset/tess/YAF_fear/YAF_such_fear.wav,augmented_pitch\YAF_such_fear_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/35526.wav,augmented_pitch\35526_pitch.wav,Happy
../dataset/mlend/MLEndSND_Public/43470.wav,augmented_pitch\43470_pitch.wav,Bored
../dataset/mlend/MLEndSND_Public/25152.wav,augmented_pitch\25152_pitch.wav,Neutral
../dataset/tess/OAF_disgust/OAF_keg_disgust.wav,augmented_pitch\OAF_keg_disgust_pitch.wav,Disgust
../dataset/mlend/MLEndSND_Public/04143.wav,augmented_pitch\04143_pitch.wav,Neutral
../dataset/esd/0016/Neutral/0016_000342.wav,augmented_pitch\0016_000342_pitch.wav,Neutral
../dataset/esd/0017/Angry/0017_000487.wav,augmented_pitch\0017_000487_pitch.wav,Anger
../dataset/meld/train/dia936_utt7.mp4,augmented_pitch\dia936_utt7_pitch.wav,Fear
../dataset/mlend/MLEndSND_Public/26030.wav,augmented_pitch\26030_pitch.wav,Question
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female2_angry_4b_2.wav,augmented_pitch\female2_angry_4b_2_pitch.wav,Anger
../dataset/esd/0019/Angry/0019_000676.wav,augmented_pitch\0019_000676_pitch.wav,Anger
../dataset/esd/0018/Angry/0018_000602.wav,augmented_pitch\0018_000602_pitch.wav,Anger
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/male2_sad_2b_2.wav,augmented_pitch\male2_sad_2b_2_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/31344.wav,augmented_pitch\31344_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/39174.wav,augmented_pitch\39174_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/39630.wav,augmented_pitch\39630_pitch.wav,Question
../dataset/esd/0012/Neutral/0012_000138.wav,augmented_pitch\0012_000138_pitch.wav,Neutral
../dataset/crema-d/AudioWAV/1009_DFA_FEA_XX.wav,augmented_pitch\1009_DFA_FEA_XX_pitch.wav,Fear
../dataset/meld/train/dia206_utt8.mp4,augmented_pitch\dia206_utt8_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/08463.wav,augmented_pitch\08463_pitch.wav,Question
../dataset/crema-d/AudioWAV/1080_TSI_DIS_XX.wav,augmented_pitch\1080_TSI_DIS_XX_pitch.wav,Disgust
../dataset/meld/train/dia69_utt4.mp4,augmented_pitch\dia69_utt4_pitch.wav,Sad
../dataset/mlend/MLEndSND_Public/18198.wav,augmented_pitch\18198_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1004_IOM_NEU_XX.wav,augmented_pitch\1004_IOM_NEU_XX_pitch.wav,Neutral
../dataset/esd/0013/Neutral/0013_000126.wav,augmented_pitch\0013_000126_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/19207.wav,augmented_pitch\19207_pitch.wav,Happy
../dataset/esd/0016/Angry/0016_000455.wav,augmented_pitch\0016_000455_pitch.wav,Anger
../dataset/esd/0014/Happy/0014_000739.wav,augmented_pitch\0014_000739_pitch.wav,Happy
../dataset/crema-d/AudioWAV/1001_TIE_DIS_XX.wav,augmented_pitch\1001_TIE_DIS_XX_pitch.wav,Disgust
../dataset/esd/0012/Sad/0012_001266.wav,augmented_pitch\0012_001266_pitch.wav,Sad
../dataset/tess/OAF_Pleasant_surprise/OAF_home_ps.wav,augmented_pitch\OAF_home_ps_pitch.wav,Surprise
../dataset/crema-d/AudioWAV/1050_TSI_DIS_XX.wav,augmented_pitch\1050_TSI_DIS_XX_pitch.wav,Disgust
../dataset/esd/0018/Angry/0018_000620.wav,augmented_pitch\0018_000620_pitch.wav,Anger
../dataset/crema-d/AudioWAV/1013_ITS_HAP_XX.wav,augmented_pitch\1013_ITS_HAP_XX_pitch.wav,Happy
../dataset/esd/0018/Neutral/0018_000144.wav,augmented_pitch\0018_000144_pitch.wav,Neutral
../dataset/mlend/MLEndSND_Public/46262.wav,augmented_pitch\46262_pitch.wav,Bored
../dataset/esd/0020/Surprise/0020_001405.wav,augmented_pitch\0020_001405_pitch.wav,Surprise
../dataset/esd/0016/Sad/0016_001169.wav,augmented_pitch\0016_001169_pitch.wav,Sad
../dataset/meld/train/dia842_utt10.mp4,augmented_pitch\dia842_utt10_pitch.wav,Happy
../dataset/esd/0012/Neutral/0012_000083.wav,augmented_pitch\0012_000083_pitch.wav,Neutral
../dataset/esd/0017/Sad/0017_001354.wav,augmented_pitch\0017_001354_pitch.wav,Sad
