Filepath,Timepath,Emotion
../dataset/crema-d/AudioWAV/1073_DFA_DIS_XX.wav,augmented_time\1073_DFA_DIS_XX_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/27175.wav,augmented_time\27175_time.wav,Happy
../dataset/tess/YAF_angry/YAF_pole_angry.wav,augmented_time\YAF_pole_angry_time.wav,Anger
../dataset/mlend/MLEndSND_Public/03585.wav,augmented_time\03585_time.wav,Question
../dataset/esd/0013/Angry/0013_000445.wav,augmented_time\0013_000445_time.wav,Anger
../dataset/mlend/MLEndSND_Public/24644.wav,augmented_time\24644_time.wav,Happy
../dataset/tess/YAF_fear/YAF_cause_fear.wav,augmented_time\YAF_cause_fear_time.wav,Fear
../dataset/esd/0019/Neutral/0019_000187.wav,augmented_time\0019_000187_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/23854.wav,augmented_time\23854_time.wav,Bored
../dataset/crema-d/AudioWAV/1077_TIE_SAD_XX.wav,augmented_time\1077_TIE_SAD_XX_time.wav,Sad
../dataset/mlend/MLEndSND_Public/11468.wav,augmented_time\11468_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/41356.wav,augmented_time\41356_time.wav,Happy
../dataset/crema-d/AudioWAV/1037_IEO_DIS_LO.wav,augmented_time\1037_IEO_DIS_LO_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/46042.wav,augmented_time\46042_time.wav,Question
../dataset/meld/train/dia1029_utt3.mp4,augmented_time\dia1029_utt3_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/39196.wav,augmented_time\39196_time.wav,Question
../dataset/mlend/MLEndSND_Public/43632.wav,augmented_time\43632_time.wav,Bored
../dataset/mlend/MLEndSND_Public/03532.wav,augmented_time\03532_time.wav,Question
../dataset/crema-d/AudioWAV/1043_IWL_HAP_XX.wav,augmented_time\1043_IWL_HAP_XX_time.wav,Happy
../dataset/esd/0014/Angry/0014_000426.wav,augmented_time\0014_000426_time.wav,Anger
../dataset/mlend/MLEndSND_Public/05241.wav,augmented_time\05241_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/17174.wav,augmented_time\17174_time.wav,Neutral
../dataset/esd/0013/Sad/0013_001392.wav,augmented_time\0013_001392_time.wav,Sad
../dataset/mlend/MLEndSND_Public/09873.wav,augmented_time\09873_time.wav,Happy
../dataset/ravdess/Actor_04/03-01-08-01-02-01-04.wav,augmented_time\03-01-08-01-02-01-04_time.wav,Surprise
../dataset/esd/0012/Sad/0012_001319.wav,augmented_time\0012_001319_time.wav,Sad
../dataset/mlend/MLEndSND_Public/20087.wav,augmented_time\20087_time.wav,Happy
../dataset/meld/train/dia286_utt0.mp4,augmented_time\dia286_utt0_time.wav,Neutral
../dataset/tess/YAF_happy/YAF_mouse_happy.wav,augmented_time\YAF_mouse_happy_time.wav,Happy
../dataset/mlend/MLEndSND_Public/20887.wav,augmented_time\20887_time.wav,Neutral
../dataset/esd/0011/Happy/0011_000739.wav,augmented_time\0011_000739_time.wav,Happy
../dataset/esd/0015/Angry/0015_000529.wav,augmented_time\0015_000529_time.wav,Anger
../dataset/tess/OAF_disgust/OAF_king_disgust.wav,augmented_time\OAF_king_disgust_time.wav,Disgust
../dataset/esd/0014/Angry/0014_000428.wav,augmented_time\0014_000428_time.wav,Anger
../dataset/mlend/MLEndSND_Public/42143.wav,augmented_time\42143_time.wav,Neutral
../dataset/esd/0020/Neutral/0020_000094.wav,augmented_time\0020_000094_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/39132.wav,augmented_time\39132_time.wav,Happy
../dataset/mlend/MLEndSND_Public/14356.wav,augmented_time\14356_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/31878.wav,augmented_time\31878_time.wav,Bored
../dataset/mlend/MLEndSND_Public/37648.wav,augmented_time\37648_time.wav,Bored
../dataset/mlend/MLEndSND_Public/08888.wav,augmented_time\08888_time.wav,Question
../dataset/crema-d/AudioWAV/1015_IEO_DIS_LO.wav,augmented_time\1015_IEO_DIS_LO_time.wav,Disgust
../dataset/crema-d/AudioWAV/1071_TAI_FEA_XX.wav,augmented_time\1071_TAI_FEA_XX_time.wav,Fear
../dataset/mlend/MLEndSND_Public/15450.wav,augmented_time\15450_time.wav,Question
../dataset/tess/OAF_disgust/OAF_nice_disgust.wav,augmented_time\OAF_nice_disgust_time.wav,Disgust
../dataset/crema-d/AudioWAV/1027_WSI_DIS_XX.wav,augmented_time\1027_WSI_DIS_XX_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/02782.wav,augmented_time\02782_time.wav,Bored
../dataset/mlend/MLEndSND_Public/04654.wav,augmented_time\04654_time.wav,Happy
../dataset/mlend/MLEndSND_Public/11015.wav,augmented_time\11015_time.wav,Question
../dataset/crema-d/AudioWAV/1041_MTI_HAP_XX.wav,augmented_time\1041_MTI_HAP_XX_time.wav,Happy
../dataset/mlend/MLEndSND_Public/38355.wav,augmented_time\38355_time.wav,Bored
../dataset/crema-d/AudioWAV/1001_TSI_ANG_XX.wav,augmented_time\1001_TSI_ANG_XX_time.wav,Anger
../dataset/crema-d/AudioWAV/1055_IOM_HAP_XX.wav,augmented_time\1055_IOM_HAP_XX_time.wav,Happy
../dataset/mlend/MLEndSND_Public/44459.wav,augmented_time\44459_time.wav,Bored
../dataset/meld/train/dia1016_utt12.mp4,augmented_time\dia1016_utt12_time.wav,Happy
../dataset/esd/0015/Sad/0015_001067.wav,augmented_time\0015_001067_time.wav,Sad
../dataset/mlend/MLEndSND_Public/16837.wav,augmented_time\16837_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/35255.wav,augmented_time\35255_time.wav,Happy
../dataset/esd/0019/Neutral/0019_000207.wav,augmented_time\0019_000207_time.wav,Neutral
../dataset/tess/OAF_angry/OAF_take_angry.wav,augmented_time\OAF_take_angry_time.wav,Anger
../dataset/mlend/MLEndSND_Public/41153.wav,augmented_time\41153_time.wav,Bored
../dataset/mlend/MLEndSND_Public/33493.wav,augmented_time\33493_time.wav,Bored
../dataset/mlend/MLEndSND_Public/13628.wav,augmented_time\13628_time.wav,Question
../dataset/mlend/MLEndSND_Public/19894.wav,augmented_time\19894_time.wav,Happy
../dataset/esd/0013/Sad/0013_001185.wav,augmented_time\0013_001185_time.wav,Sad
../dataset/mlend/MLEndSND_Public/15266.wav,augmented_time\15266_time.wav,Bored
../dataset/esd/0019/Neutral/0019_000092.wav,augmented_time\0019_000092_time.wav,Neutral
../dataset/meld/train/dia545_utt11.mp4,augmented_time\dia545_utt11_time.wav,Anger
../dataset/meld/train/dia673_utt9.mp4,augmented_time\dia673_utt9_time.wav,Neutral
../dataset/crema-d/AudioWAV/1061_IEO_DIS_MD.wav,augmented_time\1061_IEO_DIS_MD_time.wav,Disgust
../dataset/esd/0014/Surprise/0014_001687.wav,augmented_time\0014_001687_time.wav,Surprise
../dataset/esd/0011/Happy/0011_000834.wav,augmented_time\0011_000834_time.wav,Happy
../dataset/meld/train/dia147_utt6.mp4,augmented_time\dia147_utt6_time.wav,Surprise
../dataset/esd/0014/Angry/0014_000494.wav,augmented_time\0014_000494_time.wav,Anger
../dataset/ravdess/Actor_04/03-01-05-02-02-02-04.wav,augmented_time\03-01-05-02-02-02-04_time.wav,Anger
../dataset/meld/train/dia460_utt2.mp4,augmented_time\dia460_utt2_time.wav,Fear
../dataset/mlend/MLEndSND_Public/38337.wav,augmented_time\38337_time.wav,Bored
../dataset/crema-d/AudioWAV/1061_DFA_HAP_XX.wav,augmented_time\1061_DFA_HAP_XX_time.wav,Happy
../dataset/esd/0020/Surprise/0020_001506.wav,augmented_time\0020_001506_time.wav,Surprise
../dataset/tess/YAF_fear/YAF_chair_fear.wav,augmented_time\YAF_chair_fear_time.wav,Fear
../dataset/esd/0012/Surprise/0012_001632.wav,augmented_time\0012_001632_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/41662.wav,augmented_time\41662_time.wav,Bored
../dataset/mlend/MLEndSND_Public/31660.wav,augmented_time\31660_time.wav,Bored
../dataset/mlend/MLEndSND_Public/01537.wav,augmented_time\01537_time.wav,Happy
../dataset/crema-d/AudioWAV/1071_IEO_FEA_HI.wav,augmented_time\1071_IEO_FEA_HI_time.wav,Fear
../dataset/mlend/MLEndSND_Public/21542.wav,augmented_time\21542_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/34622.wav,augmented_time\34622_time.wav,Bored
../dataset/esd/0020/Neutral/0020_000137.wav,augmented_time\0020_000137_time.wav,Neutral
../dataset/esd/0011/Sad/0011_001257.wav,augmented_time\0011_001257_time.wav,Sad
../dataset/esd/0014/Surprise/0014_001529.wav,augmented_time\0014_001529_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/21796.wav,augmented_time\21796_time.wav,Bored
../dataset/esd/0011/Happy/0011_000956.wav,augmented_time\0011_000956_time.wav,Happy
../dataset/mlend/MLEndSND_Public/25699.wav,augmented_time\25699_time.wav,Happy
../dataset/esd/0011/Neutral/0011_000138.wav,augmented_time\0011_000138_time.wav,Neutral
../dataset/esd/0011/Sad/0011_001197.wav,augmented_time\0011_001197_time.wav,Sad
../dataset/meld/train/dia41_utt14.mp4,augmented_time\dia41_utt14_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/45320.wav,augmented_time\45320_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/40240.wav,augmented_time\40240_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/27081.wav,augmented_time\27081_time.wav,Bored
../dataset/crema-d/AudioWAV/1040_MTI_ANG_XX.wav,augmented_time\1040_MTI_ANG_XX_time.wav,Anger
../dataset/mlend/MLEndSND_Public/26238.wav,augmented_time\26238_time.wav,Happy
../dataset/meld/train/dia208_utt1.mp4,augmented_time\dia208_utt1_time.wav,Neutral
../dataset/esd/0018/Surprise/0018_001513.wav,augmented_time\0018_001513_time.wav,Surprise
../dataset/esd/0013/Neutral/0013_000168.wav,augmented_time\0013_000168_time.wav,Neutral
../dataset/meld/train/dia629_utt12.mp4,augmented_time\dia629_utt12_time.wav,Neutral
../dataset/tess/OAF_Pleasant_surprise/OAF_chair_ps.wav,augmented_time\OAF_chair_ps_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/44543.wav,augmented_time\44543_time.wav,Bored
../dataset/mlend/MLEndSND_Public/09331.wav,augmented_time\09331_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/30616.wav,augmented_time\30616_time.wav,Neutral
../dataset/crema-d/AudioWAV/1037_IEO_SAD_HI.wav,augmented_time\1037_IEO_SAD_HI_time.wav,Sad
../dataset/mlend/MLEndSND_Public/08610.wav,augmented_time\08610_time.wav,Bored
../dataset/tess/OAF_disgust/OAF_hall_disgust.wav,augmented_time\OAF_hall_disgust_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/25963.wav,augmented_time\25963_time.wav,Bored
../dataset/mlend/MLEndSND_Public/08484.wav,augmented_time\08484_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/06947.wav,augmented_time\06947_time.wav,Question
../dataset/esd/0019/Surprise/0019_001522.wav,augmented_time\0019_001522_time.wav,Surprise
../dataset/esd/0019/Sad/0019_001180.wav,augmented_time\0019_001180_time.wav,Sad
../dataset/mlend/MLEndSND_Public/44856.wav,augmented_time\44856_time.wav,Neutral
../dataset/crema-d/AudioWAV/1023_TSI_ANG_XX.wav,augmented_time\1023_TSI_ANG_XX_time.wav,Anger
../dataset/esd/0018/Happy/0018_001032.wav,augmented_time\0018_001032_time.wav,Happy
../dataset/esd/0011/Angry/0011_000388.wav,augmented_time\0011_000388_time.wav,Anger
../dataset/mlend/MLEndSND_Public/45736.wav,augmented_time\45736_time.wav,Happy
../dataset/esd/0020/Neutral/0020_000079.wav,augmented_time\0020_000079_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/45246.wav,augmented_time\45246_time.wav,Happy
../dataset/meld/train/dia298_utt4.mp4,augmented_time\dia298_utt4_time.wav,Sad
../dataset/tess/YAF_fear/YAF_ripe_fear.wav,augmented_time\YAF_ripe_fear_time.wav,Fear
../dataset/esd/0013/Angry/0013_000614.wav,augmented_time\0013_000614_time.wav,Anger
../dataset/mlend/MLEndSND_Public/09715.wav,augmented_time\09715_time.wav,Question
../dataset/mlend/MLEndSND_Public/30938.wav,augmented_time\30938_time.wav,Bored
../dataset/meld/train/dia792_utt0.mp4,augmented_time\dia792_utt0_time.wav,Happy
../dataset/mlend/MLEndSND_Public/22157.wav,augmented_time\22157_time.wav,Happy
../dataset/mlend/MLEndSND_Public/15713.wav,augmented_time\15713_time.wav,Bored
../dataset/mlend/MLEndSND_Public/04964.wav,augmented_time\04964_time.wav,Bored
../dataset/esd/0014/Neutral/0014_000270.wav,augmented_time\0014_000270_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/38599.wav,augmented_time\38599_time.wav,Question
../dataset/meld/train/dia629_utt1.mp4,augmented_time\dia629_utt1_time.wav,Happy
../dataset/esd/0015/Surprise/0015_001704.wav,augmented_time\0015_001704_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/26792.wav,augmented_time\26792_time.wav,Bored
../dataset/mlend/MLEndSND_Public/06930.wav,augmented_time\06930_time.wav,Bored
../dataset/mlend/MLEndSND_Public/11984.wav,augmented_time\11984_time.wav,Bored
../dataset/mlend/MLEndSND_Public/27807.wav,augmented_time\27807_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/37887.wav,augmented_time\37887_time.wav,Happy
../dataset/mlend/MLEndSND_Public/28098.wav,augmented_time\28098_time.wav,Bored
../dataset/mlend/MLEndSND_Public/00852.wav,augmented_time\00852_time.wav,Bored
../dataset/mlend/MLEndSND_Public/29525.wav,augmented_time\29525_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/45400.wav,augmented_time\45400_time.wav,Question
../dataset/crema-d/AudioWAV/1024_MTI_FEA_XX.wav,augmented_time\1024_MTI_FEA_XX_time.wav,Fear
../dataset/mlend/MLEndSND_Public/04235.wav,augmented_time\04235_time.wav,Question
../dataset/mlend/MLEndSND_Public/24048.wav,augmented_time\24048_time.wav,Happy
../dataset/mlend/MLEndSND_Public/13459.wav,augmented_time\13459_time.wav,Happy
../dataset/crema-d/AudioWAV/1036_TSI_NEU_XX.wav,augmented_time\1036_TSI_NEU_XX_time.wav,Neutral
../dataset/esd/0014/Happy/0014_000972.wav,augmented_time\0014_000972_time.wav,Happy
../dataset/mlend/MLEndSND_Public/13713.wav,augmented_time\13713_time.wav,Bored
../dataset/crema-d/AudioWAV/1014_IEO_HAP_HI.wav,augmented_time\1014_IEO_HAP_HI_time.wav,Happy
../dataset/crema-d/AudioWAV/1046_DFA_SAD_XX.wav,augmented_time\1046_DFA_SAD_XX_time.wav,Sad
../dataset/mlend/MLEndSND_Public/33788.wav,augmented_time\33788_time.wav,Happy
../dataset/esd/0020/Neutral/0020_000092.wav,augmented_time\0020_000092_time.wav,Neutral
../dataset/crema-d/AudioWAV/1037_ITS_NEU_XX.wav,augmented_time\1037_ITS_NEU_XX_time.wav,Neutral
../dataset/meld/train/dia546_utt6.mp4,augmented_time\dia546_utt6_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/46505.wav,augmented_time\46505_time.wav,Bored
../dataset/mlend/MLEndSND_Public/27753.wav,augmented_time\27753_time.wav,Neutral
../dataset/crema-d/AudioWAV/1011_IEO_DIS_HI.wav,augmented_time\1011_IEO_DIS_HI_time.wav,Disgust
../dataset/esd/0011/Neutral/0011_000038.wav,augmented_time\0011_000038_time.wav,Neutral
../dataset/esd/0012/Surprise/0012_001478.wav,augmented_time\0012_001478_time.wav,Surprise
../dataset/esd/0018/Sad/0018_001370.wav,augmented_time\0018_001370_time.wav,Sad
../dataset/tess/OAF_happy/OAF_gin_happy.wav,augmented_time\OAF_gin_happy_time.wav,Happy
../dataset/mlend/MLEndSND_Public/22812.wav,augmented_time\22812_time.wav,Happy
../dataset/mlend/MLEndSND_Public/37204.wav,augmented_time\37204_time.wav,Question
../dataset/tess/OAF_disgust/OAF_hole_disgust.wav,augmented_time\OAF_hole_disgust_time.wav,Disgust
../dataset/esd/0015/Surprise/0015_001454.wav,augmented_time\0015_001454_time.wav,Surprise
../dataset/esd/0013/Angry/0013_000529.wav,augmented_time\0013_000529_time.wav,Anger
../dataset/esd/0011/Surprise/0011_001504.wav,augmented_time\0011_001504_time.wav,Surprise
../dataset/mlend/MLEndSND_Public/41044.wav,augmented_time\41044_time.wav,Bored
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female1_neutral_5b_1.wav,augmented_time\female1_neutral_5b_1_time.wav,Neutral
../dataset/esd/0020/Neutral/0020_000043.wav,augmented_time\0020_000043_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/17818.wav,augmented_time\17818_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/35129.wav,augmented_time\35129_time.wav,Happy
../dataset/mlend/MLEndSND_Public/16759.wav,augmented_time\16759_time.wav,Bored
../dataset/esd/0017/Happy/0017_000743.wav,augmented_time\0017_000743_time.wav,Happy
../dataset/mlend/MLEndSND_Public/04852.wav,augmented_time\04852_time.wav,Bored
../dataset/crema-d/AudioWAV/1016_IEO_ANG_MD.wav,augmented_time\1016_IEO_ANG_MD_time.wav,Anger
../dataset/esd/0015/Surprise/0015_001472.wav,augmented_time\0015_001472_time.wav,Surprise
../dataset/esd/0011/Angry/0011_000559.wav,augmented_time\0011_000559_time.wav,Anger
../dataset/ravdess/Actor_03/03-01-06-02-01-02-03.wav,augmented_time\03-01-06-02-01-02-03_time.wav,Fear
../dataset/esd/0017/Sad/0017_001337.wav,augmented_time\0017_001337_time.wav,Sad
../dataset/esd/0012/Happy/0012_000707.wav,augmented_time\0012_000707_time.wav,Happy
../dataset/esd/0015/Neutral/0015_000236.wav,augmented_time\0015_000236_time.wav,Neutral
../dataset/meld/train/dia774_utt0.mp4,augmented_time\dia774_utt0_time.wav,Sad
../dataset/esd/0020/Sad/0020_001349.wav,augmented_time\0020_001349_time.wav,Sad
../dataset/mlend/MLEndSND_Public/22002.wav,augmented_time\22002_time.wav,Neutral
../dataset/tess/YAF_fear/YAF_such_fear.wav,augmented_time\YAF_such_fear_time.wav,Fear
../dataset/mlend/MLEndSND_Public/35526.wav,augmented_time\35526_time.wav,Happy
../dataset/mlend/MLEndSND_Public/43470.wav,augmented_time\43470_time.wav,Bored
../dataset/mlend/MLEndSND_Public/25152.wav,augmented_time\25152_time.wav,Neutral
../dataset/tess/OAF_disgust/OAF_keg_disgust.wav,augmented_time\OAF_keg_disgust_time.wav,Disgust
../dataset/mlend/MLEndSND_Public/04143.wav,augmented_time\04143_time.wav,Neutral
../dataset/esd/0016/Neutral/0016_000342.wav,augmented_time\0016_000342_time.wav,Neutral
../dataset/esd/0017/Angry/0017_000487.wav,augmented_time\0017_000487_time.wav,Anger
../dataset/meld/train/dia936_utt7.mp4,augmented_time\dia936_utt7_time.wav,Fear
../dataset/mlend/MLEndSND_Public/26030.wav,augmented_time\26030_time.wav,Question
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female2_angry_4b_2.wav,augmented_time\female2_angry_4b_2_time.wav,Anger
../dataset/esd/0019/Angry/0019_000676.wav,augmented_time\0019_000676_time.wav,Anger
../dataset/esd/0018/Angry/0018_000602.wav,augmented_time\0018_000602_time.wav,Anger
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/male2_sad_2b_2.wav,augmented_time\male2_sad_2b_2_time.wav,Sad
../dataset/mlend/MLEndSND_Public/31344.wav,augmented_time\31344_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/39174.wav,augmented_time\39174_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/39630.wav,augmented_time\39630_time.wav,Question
../dataset/esd/0012/Neutral/0012_000138.wav,augmented_time\0012_000138_time.wav,Neutral
../dataset/crema-d/AudioWAV/1009_DFA_FEA_XX.wav,augmented_time\1009_DFA_FEA_XX_time.wav,Fear
../dataset/meld/train/dia206_utt8.mp4,augmented_time\dia206_utt8_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/08463.wav,augmented_time\08463_time.wav,Question
../dataset/crema-d/AudioWAV/1080_TSI_DIS_XX.wav,augmented_time\1080_TSI_DIS_XX_time.wav,Disgust
../dataset/meld/train/dia69_utt4.mp4,augmented_time\dia69_utt4_time.wav,Sad
../dataset/mlend/MLEndSND_Public/18198.wav,augmented_time\18198_time.wav,Happy
../dataset/crema-d/AudioWAV/1004_IOM_NEU_XX.wav,augmented_time\1004_IOM_NEU_XX_time.wav,Neutral
../dataset/esd/0013/Neutral/0013_000126.wav,augmented_time\0013_000126_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/19207.wav,augmented_time\19207_time.wav,Happy
../dataset/esd/0016/Angry/0016_000455.wav,augmented_time\0016_000455_time.wav,Anger
../dataset/esd/0014/Happy/0014_000739.wav,augmented_time\0014_000739_time.wav,Happy
../dataset/crema-d/AudioWAV/1001_TIE_DIS_XX.wav,augmented_time\1001_TIE_DIS_XX_time.wav,Disgust
../dataset/esd/0012/Sad/0012_001266.wav,augmented_time\0012_001266_time.wav,Sad
../dataset/tess/OAF_Pleasant_surprise/OAF_home_ps.wav,augmented_time\OAF_home_ps_time.wav,Surprise
../dataset/crema-d/AudioWAV/1050_TSI_DIS_XX.wav,augmented_time\1050_TSI_DIS_XX_time.wav,Disgust
../dataset/esd/0018/Angry/0018_000620.wav,augmented_time\0018_000620_time.wav,Anger
../dataset/crema-d/AudioWAV/1013_ITS_HAP_XX.wav,augmented_time\1013_ITS_HAP_XX_time.wav,Happy
../dataset/esd/0018/Neutral/0018_000144.wav,augmented_time\0018_000144_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/46262.wav,augmented_time\46262_time.wav,Bored
../dataset/esd/0020/Surprise/0020_001405.wav,augmented_time\0020_001405_time.wav,Surprise
../dataset/esd/0016/Sad/0016_001169.wav,augmented_time\0016_001169_time.wav,Sad
../dataset/meld/train/dia842_utt10.mp4,augmented_time\dia842_utt10_time.wav,Happy
../dataset/esd/0012/Neutral/0012_000083.wav,augmented_time\0012_000083_time.wav,Neutral
../dataset/esd/0017/Sad/0017_001354.wav,augmented_time\0017_001354_time.wav,Sad
../dataset/mlend/MLEndSND_Public/38928.wav,augmented_time\38928_time.wav,Happy
../dataset/esd/0020/Sad/0020_001149.wav,augmented_time\0020_001149_time.wav,Sad
../dataset/crema-d/AudioWAV/1083_TSI_DIS_XX.wav,augmented_time\1083_TSI_DIS_XX_time.wav,Disgust
../dataset/esd/0015/Happy/0015_001010.wav,augmented_time\0015_001010_time.wav,Happy
../dataset/meld/train/dia982_utt0.mp4,augmented_time\dia982_utt0_time.wav,Neutral
../dataset/tess/OAF_happy/OAF_gap_happy.wav,augmented_time\OAF_gap_happy_time.wav,Happy
../dataset/mlend/MLEndSND_Public/29115.wav,augmented_time\29115_time.wav,Bored
../dataset/mlend/MLEndSND_Public/08951.wav,augmented_time\08951_time.wav,Happy
../dataset/esd/0020/Neutral/0020_000263.wav,augmented_time\0020_000263_time.wav,Neutral
../dataset/crema-d/AudioWAV/1022_TSI_SAD_XX.wav,augmented_time\1022_TSI_SAD_XX_time.wav,Sad
../dataset/esd/0018/Surprise/0018_001428.wav,augmented_time\0018_001428_time.wav,Surprise
../dataset/crema-d/AudioWAV/1003_MTI_NEU_XX.wav,augmented_time\1003_MTI_NEU_XX_time.wav,Neutral
../dataset/tess/YAF_pleasant_surprised/YAF_rag_ps.wav,augmented_time\YAF_rag_ps_time.wav,Surprise
../dataset/esd/0017/Neutral/0017_000034.wav,augmented_time\0017_000034_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/16828.wav,augmented_time\16828_time.wav,Happy
../dataset/esd/0015/Surprise/0015_001528.wav,augmented_time\0015_001528_time.wav,Surprise
../dataset/ravdess/Actor_11/03-01-04-01-01-02-11.wav,augmented_time\03-01-04-01-01-02-11_time.wav,Sad
../dataset/esd/0017/Surprise/0017_001740.wav,augmented_time\0017_001740_time.wav,Surprise
../dataset/esd/0018/Angry/0018_000447.wav,augmented_time\0018_000447_time.wav,Anger
../dataset/meld/train/dia519_utt1.mp4,augmented_time\dia519_utt1_time.wav,Anger
../dataset/esd/0015/Neutral/0015_000121.wav,augmented_time\0015_000121_time.wav,Neutral
../dataset/mlend/MLEndSND_Public/36381.wav,augmented_time\36381_time.wav,Bored
