Filepath,Noisepath,Emotion
../dataset/meld/train/dia1029_utt3.mp4,augmented_noise\dia1029_utt3_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/39196.wav,augmented_noise\39196_noise.wav,Question
../dataset/mlend/MLEndSND_Public/43632.wav,augmented_noise\43632_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/03532.wav,augmented_noise\03532_noise.wav,Question
../dataset/crema-d/AudioWAV/1043_IWL_HAP_XX.wav,augmented_noise\1043_IWL_HAP_XX_noise.wav,Happy
../dataset/esd/0014/Angry/0014_000426.wav,augmented_noise\0014_000426_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/05241.wav,augmented_noise\05241_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/17174.wav,augmented_noise\17174_noise.wav,Neutral
../dataset/esd/0013/Sad/0013_001392.wav,augmented_noise\0013_001392_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/09873.wav,augmented_noise\09873_noise.wav,Happy
../dataset/ravdess/Actor_04/03-01-08-01-02-01-04.wav,augmented_noise\03-01-08-01-02-01-04_noise.wav,Surprise
../dataset/esd/0012/Sad/0012_001319.wav,augmented_noise\0012_001319_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/20087.wav,augmented_noise\20087_noise.wav,Happy
../dataset/meld/train/dia286_utt0.mp4,augmented_noise\dia286_utt0_noise.wav,Neutral
../dataset/tess/YAF_happy/YAF_mouse_happy.wav,augmented_noise\YAF_mouse_happy_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/20887.wav,augmented_noise\20887_noise.wav,Neutral
../dataset/esd/0011/Happy/0011_000739.wav,augmented_noise\0011_000739_noise.wav,Happy
../dataset/esd/0015/Angry/0015_000529.wav,augmented_noise\0015_000529_noise.wav,Anger
../dataset/tess/OAF_disgust/OAF_king_disgust.wav,augmented_noise\OAF_king_disgust_noise.wav,Disgust
../dataset/esd/0014/Angry/0014_000428.wav,augmented_noise\0014_000428_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/42143.wav,augmented_noise\42143_noise.wav,Neutral
../dataset/esd/0020/Neutral/0020_000094.wav,augmented_noise\0020_000094_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/39132.wav,augmented_noise\39132_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/14356.wav,augmented_noise\14356_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/31878.wav,augmented_noise\31878_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/37648.wav,augmented_noise\37648_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/08888.wav,augmented_noise\08888_noise.wav,Question
../dataset/crema-d/AudioWAV/1015_IEO_DIS_LO.wav,augmented_noise\1015_IEO_DIS_LO_noise.wav,Disgust
../dataset/crema-d/AudioWAV/1071_TAI_FEA_XX.wav,augmented_noise\1071_TAI_FEA_XX_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/15450.wav,augmented_noise\15450_noise.wav,Question
../dataset/tess/OAF_disgust/OAF_nice_disgust.wav,augmented_noise\OAF_nice_disgust_noise.wav,Disgust
../dataset/crema-d/AudioWAV/1027_WSI_DIS_XX.wav,augmented_noise\1027_WSI_DIS_XX_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/02782.wav,augmented_noise\02782_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/04654.wav,augmented_noise\04654_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/11015.wav,augmented_noise\11015_noise.wav,Question
../dataset/crema-d/AudioWAV/1041_MTI_HAP_XX.wav,augmented_noise\1041_MTI_HAP_XX_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/38355.wav,augmented_noise\38355_noise.wav,Bored
../dataset/crema-d/AudioWAV/1001_TSI_ANG_XX.wav,augmented_noise\1001_TSI_ANG_XX_noise.wav,Anger
../dataset/crema-d/AudioWAV/1055_IOM_HAP_XX.wav,augmented_noise\1055_IOM_HAP_XX_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/44459.wav,augmented_noise\44459_noise.wav,Bored
../dataset/meld/train/dia1016_utt12.mp4,augmented_noise\dia1016_utt12_noise.wav,Happy
../dataset/esd/0015/Sad/0015_001067.wav,augmented_noise\0015_001067_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/16837.wav,augmented_noise\16837_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/35255.wav,augmented_noise\35255_noise.wav,Happy
../dataset/esd/0019/Neutral/0019_000207.wav,augmented_noise\0019_000207_noise.wav,Neutral
../dataset/tess/OAF_angry/OAF_take_angry.wav,augmented_noise\OAF_take_angry_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/41153.wav,augmented_noise\41153_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/33493.wav,augmented_noise\33493_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/13628.wav,augmented_noise\13628_noise.wav,Question
../dataset/mlend/MLEndSND_Public/19894.wav,augmented_noise\19894_noise.wav,Happy
../dataset/esd/0013/Sad/0013_001185.wav,augmented_noise\0013_001185_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/15266.wav,augmented_noise\15266_noise.wav,Bored
../dataset/esd/0019/Neutral/0019_000092.wav,augmented_noise\0019_000092_noise.wav,Neutral
../dataset/meld/train/dia545_utt11.mp4,augmented_noise\dia545_utt11_noise.wav,Anger
../dataset/meld/train/dia673_utt9.mp4,augmented_noise\dia673_utt9_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1061_IEO_DIS_MD.wav,augmented_noise\1061_IEO_DIS_MD_noise.wav,Disgust
../dataset/esd/0014/Surprise/0014_001687.wav,augmented_noise\0014_001687_noise.wav,Surprise
../dataset/esd/0011/Happy/0011_000834.wav,augmented_noise\0011_000834_noise.wav,Happy
../dataset/meld/train/dia147_utt6.mp4,augmented_noise\dia147_utt6_noise.wav,Surprise
../dataset/esd/0014/Angry/0014_000494.wav,augmented_noise\0014_000494_noise.wav,Anger
../dataset/ravdess/Actor_04/03-01-05-02-02-02-04.wav,augmented_noise\03-01-05-02-02-02-04_noise.wav,Anger
../dataset/meld/train/dia460_utt2.mp4,augmented_noise\dia460_utt2_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/38337.wav,augmented_noise\38337_noise.wav,Bored
../dataset/crema-d/AudioWAV/1061_DFA_HAP_XX.wav,augmented_noise\1061_DFA_HAP_XX_noise.wav,Happy
../dataset/esd/0020/Surprise/0020_001506.wav,augmented_noise\0020_001506_noise.wav,Surprise
../dataset/tess/YAF_fear/YAF_chair_fear.wav,augmented_noise\YAF_chair_fear_noise.wav,Fear
../dataset/esd/0012/Surprise/0012_001632.wav,augmented_noise\0012_001632_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/41662.wav,augmented_noise\41662_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/31660.wav,augmented_noise\31660_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/01537.wav,augmented_noise\01537_noise.wav,Happy
../dataset/crema-d/AudioWAV/1071_IEO_FEA_HI.wav,augmented_noise\1071_IEO_FEA_HI_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/21542.wav,augmented_noise\21542_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/34622.wav,augmented_noise\34622_noise.wav,Bored
../dataset/esd/0020/Neutral/0020_000137.wav,augmented_noise\0020_000137_noise.wav,Neutral
../dataset/esd/0011/Sad/0011_001257.wav,augmented_noise\0011_001257_noise.wav,Sad
../dataset/esd/0014/Surprise/0014_001529.wav,augmented_noise\0014_001529_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/21796.wav,augmented_noise\21796_noise.wav,Bored
../dataset/esd/0011/Happy/0011_000956.wav,augmented_noise\0011_000956_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/25699.wav,augmented_noise\25699_noise.wav,Happy
../dataset/esd/0011/Neutral/0011_000138.wav,augmented_noise\0011_000138_noise.wav,Neutral
../dataset/esd/0011/Sad/0011_001197.wav,augmented_noise\0011_001197_noise.wav,Sad
../dataset/meld/train/dia41_utt14.mp4,augmented_noise\dia41_utt14_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/45320.wav,augmented_noise\45320_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/40240.wav,augmented_noise\40240_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/27081.wav,augmented_noise\27081_noise.wav,Bored
../dataset/crema-d/AudioWAV/1040_MTI_ANG_XX.wav,augmented_noise\1040_MTI_ANG_XX_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/26238.wav,augmented_noise\26238_noise.wav,Happy
../dataset/meld/train/dia208_utt1.mp4,augmented_noise\dia208_utt1_noise.wav,Neutral
../dataset/esd/0018/Surprise/0018_001513.wav,augmented_noise\0018_001513_noise.wav,Surprise
../dataset/esd/0013/Neutral/0013_000168.wav,augmented_noise\0013_000168_noise.wav,Neutral
../dataset/meld/train/dia629_utt12.mp4,augmented_noise\dia629_utt12_noise.wav,Neutral
../dataset/tess/OAF_Pleasant_surprise/OAF_chair_ps.wav,augmented_noise\OAF_chair_ps_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/44543.wav,augmented_noise\44543_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/09331.wav,augmented_noise\09331_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/30616.wav,augmented_noise\30616_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1037_IEO_SAD_HI.wav,augmented_noise\1037_IEO_SAD_HI_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/08610.wav,augmented_noise\08610_noise.wav,Bored
../dataset/tess/OAF_disgust/OAF_hall_disgust.wav,augmented_noise\OAF_hall_disgust_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/25963.wav,augmented_noise\25963_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/08484.wav,augmented_noise\08484_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/06947.wav,augmented_noise\06947_noise.wav,Question
../dataset/esd/0019/Surprise/0019_001522.wav,augmented_noise\0019_001522_noise.wav,Surprise
../dataset/esd/0019/Sad/0019_001180.wav,augmented_noise\0019_001180_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/44856.wav,augmented_noise\44856_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1023_TSI_ANG_XX.wav,augmented_noise\1023_TSI_ANG_XX_noise.wav,Anger
../dataset/esd/0018/Happy/0018_001032.wav,augmented_noise\0018_001032_noise.wav,Happy
../dataset/esd/0011/Angry/0011_000388.wav,augmented_noise\0011_000388_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/45736.wav,augmented_noise\45736_noise.wav,Happy
../dataset/esd/0020/Neutral/0020_000079.wav,augmented_noise\0020_000079_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/45246.wav,augmented_noise\45246_noise.wav,Happy
../dataset/meld/train/dia298_utt4.mp4,augmented_noise\dia298_utt4_noise.wav,Sad
../dataset/tess/YAF_fear/YAF_ripe_fear.wav,augmented_noise\YAF_ripe_fear_noise.wav,Fear
../dataset/esd/0013/Angry/0013_000614.wav,augmented_noise\0013_000614_noise.wav,Anger
../dataset/mlend/MLEndSND_Public/09715.wav,augmented_noise\09715_noise.wav,Question
../dataset/mlend/MLEndSND_Public/30938.wav,augmented_noise\30938_noise.wav,Bored
../dataset/meld/train/dia792_utt0.mp4,augmented_noise\dia792_utt0_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/22157.wav,augmented_noise\22157_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/15713.wav,augmented_noise\15713_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/04964.wav,augmented_noise\04964_noise.wav,Bored
../dataset/esd/0014/Neutral/0014_000270.wav,augmented_noise\0014_000270_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/38599.wav,augmented_noise\38599_noise.wav,Question
../dataset/meld/train/dia629_utt1.mp4,augmented_noise\dia629_utt1_noise.wav,Happy
../dataset/esd/0015/Surprise/0015_001704.wav,augmented_noise\0015_001704_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/26792.wav,augmented_noise\26792_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/06930.wav,augmented_noise\06930_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/11984.wav,augmented_noise\11984_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/27807.wav,augmented_noise\27807_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/37887.wav,augmented_noise\37887_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/28098.wav,augmented_noise\28098_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/00852.wav,augmented_noise\00852_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/29525.wav,augmented_noise\29525_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/45400.wav,augmented_noise\45400_noise.wav,Question
../dataset/crema-d/AudioWAV/1024_MTI_FEA_XX.wav,augmented_noise\1024_MTI_FEA_XX_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/04235.wav,augmented_noise\04235_noise.wav,Question
../dataset/mlend/MLEndSND_Public/24048.wav,augmented_noise\24048_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/13459.wav,augmented_noise\13459_noise.wav,Happy
../dataset/crema-d/AudioWAV/1036_TSI_NEU_XX.wav,augmented_noise\1036_TSI_NEU_XX_noise.wav,Neutral
../dataset/esd/0014/Happy/0014_000972.wav,augmented_noise\0014_000972_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/13713.wav,augmented_noise\13713_noise.wav,Bored
../dataset/crema-d/AudioWAV/1014_IEO_HAP_HI.wav,augmented_noise\1014_IEO_HAP_HI_noise.wav,Happy
../dataset/crema-d/AudioWAV/1046_DFA_SAD_XX.wav,augmented_noise\1046_DFA_SAD_XX_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/33788.wav,augmented_noise\33788_noise.wav,Happy
../dataset/esd/0020/Neutral/0020_000092.wav,augmented_noise\0020_000092_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1037_ITS_NEU_XX.wav,augmented_noise\1037_ITS_NEU_XX_noise.wav,Neutral
../dataset/meld/train/dia546_utt6.mp4,augmented_noise\dia546_utt6_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/46505.wav,augmented_noise\46505_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/27753.wav,augmented_noise\27753_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1011_IEO_DIS_HI.wav,augmented_noise\1011_IEO_DIS_HI_noise.wav,Disgust
../dataset/esd/0011/Neutral/0011_000038.wav,augmented_noise\0011_000038_noise.wav,Neutral
../dataset/esd/0012/Surprise/0012_001478.wav,augmented_noise\0012_001478_noise.wav,Surprise
../dataset/esd/0018/Sad/0018_001370.wav,augmented_noise\0018_001370_noise.wav,Sad
../dataset/tess/OAF_happy/OAF_gin_happy.wav,augmented_noise\OAF_gin_happy_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/22812.wav,augmented_noise\22812_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/37204.wav,augmented_noise\37204_noise.wav,Question
../dataset/tess/OAF_disgust/OAF_hole_disgust.wav,augmented_noise\OAF_hole_disgust_noise.wav,Disgust
../dataset/esd/0015/Surprise/0015_001454.wav,augmented_noise\0015_001454_noise.wav,Surprise
../dataset/esd/0013/Angry/0013_000529.wav,augmented_noise\0013_000529_noise.wav,Anger
../dataset/esd/0011/Surprise/0011_001504.wav,augmented_noise\0011_001504_noise.wav,Surprise
../dataset/mlend/MLEndSND_Public/41044.wav,augmented_noise\41044_noise.wav,Bored
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female1_neutral_5b_1.wav,augmented_noise\female1_neutral_5b_1_noise.wav,Neutral
../dataset/esd/0020/Neutral/0020_000043.wav,augmented_noise\0020_000043_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/17818.wav,augmented_noise\17818_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/35129.wav,augmented_noise\35129_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/16759.wav,augmented_noise\16759_noise.wav,Bored
../dataset/esd/0017/Happy/0017_000743.wav,augmented_noise\0017_000743_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/04852.wav,augmented_noise\04852_noise.wav,Bored
../dataset/crema-d/AudioWAV/1016_IEO_ANG_MD.wav,augmented_noise\1016_IEO_ANG_MD_noise.wav,Anger
../dataset/esd/0015/Surprise/0015_001472.wav,augmented_noise\0015_001472_noise.wav,Surprise
../dataset/esd/0011/Angry/0011_000559.wav,augmented_noise\0011_000559_noise.wav,Anger
../dataset/ravdess/Actor_03/03-01-06-02-01-02-03.wav,augmented_noise\03-01-06-02-01-02-03_noise.wav,Fear
../dataset/esd/0017/Sad/0017_001337.wav,augmented_noise\0017_001337_noise.wav,Sad
../dataset/esd/0012/Happy/0012_000707.wav,augmented_noise\0012_000707_noise.wav,Happy
../dataset/esd/0015/Neutral/0015_000236.wav,augmented_noise\0015_000236_noise.wav,Neutral
../dataset/meld/train/dia774_utt0.mp4,augmented_noise\dia774_utt0_noise.wav,Sad
../dataset/esd/0020/Sad/0020_001349.wav,augmented_noise\0020_001349_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/22002.wav,augmented_noise\22002_noise.wav,Neutral
../dataset/tess/YAF_fear/YAF_such_fear.wav,augmented_noise\YAF_such_fear_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/35526.wav,augmented_noise\35526_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/43470.wav,augmented_noise\43470_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/25152.wav,augmented_noise\25152_noise.wav,Neutral
../dataset/tess/OAF_disgust/OAF_keg_disgust.wav,augmented_noise\OAF_keg_disgust_noise.wav,Disgust
../dataset/mlend/MLEndSND_Public/04143.wav,augmented_noise\04143_noise.wav,Neutral
../dataset/esd/0016/Neutral/0016_000342.wav,augmented_noise\0016_000342_noise.wav,Neutral
../dataset/esd/0017/Angry/0017_000487.wav,augmented_noise\0017_000487_noise.wav,Anger
../dataset/meld/train/dia936_utt7.mp4,augmented_noise\dia936_utt7_noise.wav,Fear
../dataset/mlend/MLEndSND_Public/26030.wav,augmented_noise\26030_noise.wav,Question
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/female2_angry_4b_2.wav,augmented_noise\female2_angry_4b_2_noise.wav,Anger
../dataset/esd/0019/Angry/0019_000676.wav,augmented_noise\0019_000676_noise.wav,Anger
../dataset/esd/0018/Angry/0018_000602.wav,augmented_noise\0018_000602_noise.wav,Anger
../dataset/jl-corpus/Raw JL corpus (unchecked and unannotated)/JL(wav+txt)/male2_sad_2b_2.wav,augmented_noise\male2_sad_2b_2_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/31344.wav,augmented_noise\31344_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/39174.wav,augmented_noise\39174_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/39630.wav,augmented_noise\39630_noise.wav,Question
../dataset/esd/0012/Neutral/0012_000138.wav,augmented_noise\0012_000138_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1009_DFA_FEA_XX.wav,augmented_noise\1009_DFA_FEA_XX_noise.wav,Fear
../dataset/meld/train/dia206_utt8.mp4,augmented_noise\dia206_utt8_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/08463.wav,augmented_noise\08463_noise.wav,Question
../dataset/crema-d/AudioWAV/1080_TSI_DIS_XX.wav,augmented_noise\1080_TSI_DIS_XX_noise.wav,Disgust
../dataset/meld/train/dia69_utt4.mp4,augmented_noise\dia69_utt4_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/18198.wav,augmented_noise\18198_noise.wav,Happy
../dataset/crema-d/AudioWAV/1004_IOM_NEU_XX.wav,augmented_noise\1004_IOM_NEU_XX_noise.wav,Neutral
../dataset/esd/0013/Neutral/0013_000126.wav,augmented_noise\0013_000126_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/19207.wav,augmented_noise\19207_noise.wav,Happy
../dataset/esd/0016/Angry/0016_000455.wav,augmented_noise\0016_000455_noise.wav,Anger
../dataset/esd/0014/Happy/0014_000739.wav,augmented_noise\0014_000739_noise.wav,Happy
../dataset/crema-d/AudioWAV/1001_TIE_DIS_XX.wav,augmented_noise\1001_TIE_DIS_XX_noise.wav,Disgust
../dataset/esd/0012/Sad/0012_001266.wav,augmented_noise\0012_001266_noise.wav,Sad
../dataset/tess/OAF_Pleasant_surprise/OAF_home_ps.wav,augmented_noise\OAF_home_ps_noise.wav,Surprise
../dataset/crema-d/AudioWAV/1050_TSI_DIS_XX.wav,augmented_noise\1050_TSI_DIS_XX_noise.wav,Disgust
../dataset/esd/0018/Angry/0018_000620.wav,augmented_noise\0018_000620_noise.wav,Anger
../dataset/crema-d/AudioWAV/1013_ITS_HAP_XX.wav,augmented_noise\1013_ITS_HAP_XX_noise.wav,Happy
../dataset/esd/0018/Neutral/0018_000144.wav,augmented_noise\0018_000144_noise.wav,Neutral
../dataset/mlend/MLEndSND_Public/46262.wav,augmented_noise\46262_noise.wav,Bored
../dataset/esd/0020/Surprise/0020_001405.wav,augmented_noise\0020_001405_noise.wav,Surprise
../dataset/esd/0016/Sad/0016_001169.wav,augmented_noise\0016_001169_noise.wav,Sad
../dataset/meld/train/dia842_utt10.mp4,augmented_noise\dia842_utt10_noise.wav,Happy
../dataset/esd/0012/Neutral/0012_000083.wav,augmented_noise\0012_000083_noise.wav,Neutral
../dataset/esd/0017/Sad/0017_001354.wav,augmented_noise\0017_001354_noise.wav,Sad
../dataset/mlend/MLEndSND_Public/38928.wav,augmented_noise\38928_noise.wav,Happy
../dataset/esd/0020/Sad/0020_001149.wav,augmented_noise\0020_001149_noise.wav,Sad
../dataset/crema-d/AudioWAV/1083_TSI_DIS_XX.wav,augmented_noise\1083_TSI_DIS_XX_noise.wav,Disgust
../dataset/esd/0015/Happy/0015_001010.wav,augmented_noise\0015_001010_noise.wav,Happy
../dataset/meld/train/dia982_utt0.mp4,augmented_noise\dia982_utt0_noise.wav,Neutral
../dataset/tess/OAF_happy/OAF_gap_happy.wav,augmented_noise\OAF_gap_happy_noise.wav,Happy
../dataset/mlend/MLEndSND_Public/29115.wav,augmented_noise\29115_noise.wav,Bored
../dataset/mlend/MLEndSND_Public/08951.wav,augmented_noise\08951_noise.wav,Happy
../dataset/esd/0020/Neutral/0020_000263.wav,augmented_noise\0020_000263_noise.wav,Neutral
../dataset/crema-d/AudioWAV/1022_TSI_SAD_XX.wav,augmented_noise\1022_TSI_SAD_XX_noise.wav,Sad
../dataset/esd/0018/Surprise/0018_001428.wav,augmented_noise\0018_001428_noise.wav,Surprise
